0	0.994	0	0	-2.03173
0.1	0.915606	-0.0478259	-0.696385	-0.175414
0.2	0.848128	-0.0557348	-0.664893	0.00578738
0.3	0.78137	-0.0476138	-0.674188	0.154956
0.4	0.712621	-0.0248493	-0.704117	0.300463
0.5	0.639777	0.012546	-0.757437	0.447747
0.6	0.559932	0.0646686	-0.847147	0.593682
0.7	0.468374	0.130714	-0.99635	0.721576
0.8	0.357719	0.206838	-1.23295	0.783011
0.9	0.219068	0.281646	-1.54557	0.673511
1	0.0513067	0.332618	-1.77253	0.307809
1.1	-0.125081	0.340816	-1.70442	-0.125313
1.2	-0.283215	0.314784	-1.44698	-0.35475
1.3	-0.414835	0.276524	-1.19437	-0.386356
1.4	-0.524164	0.240756	-1.00219	-0.318947
1.5	-0.616969	0.213963	-0.86077	-0.213563
1.6	-0.697398	0.198371	-0.751925	-0.097852
1.7	-0.767974	0.194335	-0.661866	0.0163192
1.8	-0.830096	0.201407	-0.581672	0.123756
1.9	-0.884453	0.218781	-0.505882	0.222066
2	-0.931311	0.245476	-0.431292	0.310062
2.1	-0.970692	0.280428	-0.356159	0.387098
2.2	-1.0025	0.322518	-0.279706	0.452795
2.3	-1.02658	0.370601	-0.201794	0.506924
2.4	-1.04282	0.423513	-0.122726	0.549371
2.5	-1.05111	0.480085	-0.0431014	0.580124
2.6	-1.05145	0.539151	0.0362741	0.599271
2.7	-1.0439	0.599559	0.114461	0.607008
2.8	-1.02863	0.660182	0.190438	0.603643
2.9	-1.00592	0.719931	0.263141	0.589596
3	-0.976144	0.777763	0.3315	0.565403
3.1	-0.939797	0.832695	0.394462	0.531709
3.2	-0.897465	0.883813	0.45102	0.489264
3.3	-0.849838	0.930284	0.500227	0.438916
3.4	-0.797694	0.971364	0.541215	0.381601
3.5	-0.741895	1.00641	0.573206	0.318323
3.6	-0.683375	1.03487	0.595527	0.250148
3.7	-0.623131	1.05631	0.607612	0.178174
3.8	-0.562209	1.07041	0.609011	0.10352
3.9	-0.501696	1.07696	0.59939	0.0272927
4	-0.442706	1.07585	0.578528	-0.0494415
4.1	-0.386369	1.06709	0.546315	-0.12569
4.2	-0.333822	1.05076	0.502746	-0.20058
4.3	-0.286196	1.02704	0.44791	-0.273415
4.4	-0.244609	0.996161	0.381985	-0.343751
4.5	-0.21016	0.958378	0.305234	-0.411501
4.6	-0.183912	0.913934	0.218021	-0.477087
4.7	-0.166887	0.862995	0.120867	-0.541667
4.8	-0.160043	0.805561	0.0145942	-0.607486
4.9	-0.164224	0.74133	-0.0993131	-0.678414
5	-0.180064	0.669502	-0.217861	-0.760739
5.1	-0.207744	0.588482	-0.33458	-0.864202
5.2	-0.246457	0.495501	-0.435079	-1.00254
5.3	-0.293209	0.38632	-0.488075	-1.19002
5.4	-0.340548	0.255942	-0.434665	-1.42184
5.5	-0.374339	0.102813	-0.210972	-1.62418
5.6	-0.378527	-0.0629181	0.132067	-1.6519
5.7	-0.350694	-0.220636	0.397154	-1.47888
5.8	-0.305099	-0.356709	0.487729	-1.24354
5.9	-0.257284	-0.47061	0.454084	-1.04325
6	-0.216215	-0.567088	0.361356	-0.894067
